id,title,overview,service
22,메디포스트,"메디포스트 주식회사는 제대혈 보관, 줄기세포치료제 개발 및 판매, 건강기능식품 판매 등을 영위하는 회사로, 2000년에 설립되었으며 코스닥시장에 상장되어 있다.","이 회사는 제대혈은행, 줄기세포치료제, 건강기능식품 등 3개의 주요 사업부로 구성되어 있습니다. 제대혈은행 사업은 국내 시장에서 1위를 차지하고 있으며, 멀티백 보관 서비스 등 고객의 니즈에 맞는 상품개발을 통해 매출을 증가시켰습니다. 줄기세포치료제 사업은 무릎 골관절염 치료제인 카티스템을 중심으로 성장하고 있으며, 제대혈 줄기세포 이식수술의 안전성과 유효성을 입증했습니다. 건강기능식품 사업은 모비타 브랜드를 통해 여성전용 제품 등을 판매하고 있으며, 온라인 판매채널을 통해 매출을 증가시켰습니다."
23,이스트소프트,"이 회사는 AI, S/W, 포털, 자산운용, 커머스, 게임 사업을 운영하는 회사로, 대표적인 서비스로는 AI휴먼, 알약 및 알툴즈, 포털(zum.com), 증강현실(AR) 기술이 적용된 아이웨어 가상피팅 어플(ROUNZ), 카발 IP 기반 게임 등이 있으며, 2023년 누적 연결매출액은 약 92,482백만 원입니다.","주요 제품 및 서비스 연결회사의 주요 제품 및 서비스와 사업부문별 매출은 다음과 같습니다. AI, S/W 사업에서는 AI Studio Perso, PERSO LIVE, ALAN 등의 AI 서비스와 알약 제품군, 쓰렛인사이드, 시큐어디스크, 인터넷디스크 등의 보안S/W, 알툴즈 제품군이 주요 제품 및 서비스로 분류됩니다. 게임 사업에서는 카발 온라인, 카발 모바일, 고양이 다방1,2 등이 주요 제품 및 서비스로 분류됩니다. 포털 사업에서는 줌닷컴(zum.com), 딥다이브, 인베스팅뷰 등이 주요 제품 및 서비스로 분류됩니다. 커머스 사업에서는 라운즈(안경쇼핑몰 rounz.com) 등이 주요 제품 및 서비스로 분류됩니다. 자산운용업, 투자자문업, 투자일임업에서는 엑스포넨셜자산운용, 펀드 등이 주요 제품 및 서비스로 분류됩니다."
24,SK이노베이션,"SK이노베이션은 Green Energy & Materials Company로서 다양한 사업 분야를 포함하고 있으며, 친환경 포트폴리오를 확대하고 있는 기업이다.","SK이노베이션은 Green Energy & Materials Company로서 다양한 사업 영역을 보유하고 있습니다. 주요 서비스는 석유사업, 화학사업, 윤활유사업, 배터리사업, 소재사업, 석유개발사업 등으로 구성되어 있습니다. 각 사업부문의 주요 제품 및 서비스 정보를 제공하고 있으며, 석유사업은 석유제품 생산, 화학사업은 화학제품 생산, 배터리사업은 전기차 및 ESS용 배터리 생산 등을 주요 영역으로 하고 있습니다. 각 사업부문의 매출액과 주요 제품의 현황을 제공하고 있습니다."
25,해성디에스,"해성디에스 주식회사는 반도체 Substrate(리드프레임, Package Substrate)의 제조ㆍ판매를 주요 사업으로 하고 있으며, 주요 고객으로는 종합반도체업체와 조립외주업체, 그리고 삼성전자와 SK하이닉스 등이 있으며, 그래핀 사업도 추진하고 있다.","당사는 반도체 Substrate를 생산하는 반도체 후공정 사업을 영위하고 있습니다. 주요 제품으로는 리드프레임과 Package Substrate가 있으며, 그래핀도 생산하고 있습니다. 리드프레임은 자동차용 반도체와 모바일 기기용 패키징 재료로 사용되고, Package Substrate는 PC, 서버, 모바일 등의 메모리 반도체 패키징 재료로 사용됩니다. 그래핀은 다양한 응용제품을 개발할 수 있는 소재로 사용됩니다.회사는 세계 리드프레임 시장을 선도하고 있으며, 고품질 그래핀 Flake의 대량생산 기술을 개발하고 있습니다. 이를 통해 환경 분야의 제품 개발을 수행하고 있습니다."
26,한국콜마,한국콜마 주식회사는 화장품 ODM사업과 전문의약품 및 화장품용기 제조업을 영위하는 회사이다.,"한국콜마㈜과 연결대상 종속회사의 주요 제품 및 서비스에 대한 정보를 제공해줬으면 좋겠어. 화장품, 패키징 제품, 전문의약품, 기초수액, 그리고 기타 제품 등의 매출액과 비중, 가격변동추이 등을 카테고리로 분류해서 보여줬으면 좋겠어."
27,유니드,"주식회사 유니드는 1980년에 설립된 화학제품 제조 및 판매 회사로, 중국과 한국에 사업장을 운영하고 있으며, 현재 중소기업에 해당되지 않는 대규모 기업이다.","주요 서비스:
1. 화학 사업부문: SBR, ABS, 반도체, 의약, 세제, 태양광 웨이퍼 등의 제품을 생산 및 판매
2. 상품/용역: 염산 등의 상품을 판매

기타 정보:
- 2023년 화학 사업부문 매출은 580,115,744 천원이며, 상품/용역 매출은 65,681,956 천원입니다.
- UJC의 화학 제품, 상품 매출은 1,483,656 천CNY이고, OJC의 에너지 제품, 화학 제품 매출은 988,064 천CNY입니다.
- 가성칼륨 등의 가격은 2023년에 2,034 천원/MT로 하락했습니다.
- 회사는 화학사업부와 해외사업부로 구분되며, 주요 제품은 가성칼륨, 탄산칼륨, 액체염소 등입니다.
- 자산과 부채는 각 사업부문별로 분류되며, 화학사업부의 자산은 877,100,083 천원이고, 부채는 221,210,000 천원입니다."
28,삼성전자,"삼성전자주식회사는 전자 제품 및 솔루션을 생산하는 글로벌 전자 기업으로, TV, 스마트폰, 반도체 등 다양한 제품을 제공하고 있습니다.","주요 제품 및 서비스 카테고리:
1. TV, 냉장고, 세탁기, 에어컨, 스마트폰 등 완제품
2. DRAM, NAND Flash, 모바일AP 등 반도체 부품
3. 스마트폰용 OLED 패널
4. 디지털 콕핏, 카오디오, 포터블 스피커 등 Harman 제품"
29,샘씨엔에스,"주식회사 샘씨엔에스는 반도체 제조 공정에서 사용되는 세라믹STF를 제작하여 납품하는 회사로, 코스닥에 상장된 기술성장기업입니다.","주요 제품 및 서비스는 다음과 같습니다:
1. NAND 프로브카드용 세라믹 STF 반도체 검사 장비 부품
2. DRAM 프로브카드용 세라믹 STF
3. 비메모리 반도체 프로브카드용 세라믹 STF
4. 기타

가격 변동 추이에 대한 정보는 제공되지 않았습니다. 회사는 반도체 제조 공정에서 사용되는 프로브카드용 세라믹STF를 제작하여 판매하고 있으며, 이 제품은 웨이퍼의 전기적 성능평가를 위한 핵심 부품입니다. 회사는 세라믹 기판 MLC를 포함한 다층 세라믹 기판 시장점유율을 확대하고 있으며, 신사업 진출도 모색하고 있습니다. 세부사항은 ""II. 사업의 내용""의 ""2. 주요 제품 및 서비스""부터 ""7. 기타 참고사항""까지의 항목을 참고해주세요."
30,신세계인터내셔날,"신세계인터내셔날은 패션, 라이프스타일, 코스메틱 사업을 전개하며 성장하는 회사입니다.","주요 서비스: 
1. 패션 및 라이프스타일 - 매출액 비율 72.0%
2. 코스메틱 - 매출액 비율 28.0%

사업 영역: 
- 패션 및 라이프스타일과 코스메틱 사업을 전개
- 자체 브랜드 운영 및 해외 브랜드 수입
- 라이프스타일 브랜드 JAJU, 코스메틱 브랜드 다양화
- 럭셔리 스킨케어 브랜드 '스위스퍼펙션' 인수
- 온라인 채널 'S.I.VILLAGE' 성장

제품, 서비스 정보:
- 패션사업: 의류 제조 및 판매, 브랜드컨셉 리뉴얼
- 코스메틱 사업: 럭셔리 코스메틱 브랜드 다양화
- 매장 운영: 전국 130개 매장 운영
- 미래 성장: 신사업 기회 모색, 소싱 역량 확대, 브랜드 포트폴리오 재정립

회사는 패션 및 라이프스타일, 코스메틱 사업을 중심으로 성장하고 있으며, 미래 성장을 위해 신규 사업과 M&A를 추진할 계획이다."
31,이노와이어리스,"주식회사 이노와이어리스는 무선망 최적화, Big Data, 통신 T&M, SmallCell 제품군을 개발하고 제조하는 기업으로, 이동통신사업자와 기지국, 단말기 및 칩셋 제조사를 주요 거래처로 하는 글로벌 기업이다.","주요 제품 및 서비스 (기간 : 2023.01.01 ~ 2023.12.31) (단위 : 백만원)
1. 통신용 시험/계측기 및 SmallCell 사업부문
- 무선망 최적화 제품군: 전파 불량지역 및 음영지역 탐지, 음성 및 데이터 서비스 품질 측정 및 분석
- Big Data 제품군: 통신망 데이터 수집, 분석, 통계화를 통한 운용 및 관리 효율성 향상
- 통신 T&M 제품군: 기지국 상태 감시, 통신망 유지보수, 네트워크 시험에 사용
- SmallCell 제품군: 초소형 기지국으로 인접 통신망 트래픽 부하 감소, 통신품질 향상 기여
- 기타: 측정용역 등

2. 사업의 개요
- 주요 사업영역: 통신용 시험/계측기 및 SmallCell
- 제품 개발 및 생산: 국내에서 판매, 해외에서는 6개 지역거점을 중심으로 판매조직인 Accuver를 통해 전 세계 고객에게 제공
- 2023년 매출액: 1,374억 원, 수출 비중 약 68%

3. 무선망 최적화 제품군
- 무선 네트워크 성능 및 품질 측정, 분석을 통한 네트워크 구축 효율성 및 신뢰성 제고
- 다양한 제품군 공급: 2000년부터 현재까지 국내외 이동통신사업자와 네트워크 장비 사업자에게 공급

4. Big Data 제품군
- 코어 네트워크 데이터 모니터링, 장애 진단, 분석 및 관리 솔루션
- 5G, 인공지능 등 차세대 기술에 대응하여 지속적인 시장확대

5. 통신 T&M 제품군
- 유지보수용 휴대형 계측장비, 채널 에뮬레이터 등을 통한 통신 네트워크 성능 시험과 운용 고도화
- 세계적인 계측장비 업체와의 파트너십을 통한 시장 경험과 신뢰도 확보

6. SmallCell 제품군
- 낮은 비용으로 높은 성능을 제공하는 소형기지국 솔루션
- 5G 시장에서의 성장 잠재력 확보를 위해 LTE SmallCell 개발 및 회사분할을 통한 전문화"
32,삼성바이오로직스,"삼성바이오로직스는 CDMO와 바이오의약품 개발 및 상업화 부문으로 사업을 진행하는 회사로, 주요 매출은 유럽과 미국 소재 고객사에서 발생하고 있습니다.","주요 제품 및 서비스는 CDMO 제품 등 항체의약품, 서비스 기타, 바이오의약품 개발 및 상업화 등으로 분류됩니다. CDMO 부문은 바이오의약품 위탁 생산 및 세포주/공정 개발 서비스를 제공하고 있으며, 바이오의약품 개발 및 상업화 부문은 바이오시밀러 개발 및 상업화에 중점을 두고 사업을 영위하고 있습니다.회사는 세포/유전자치료제 생산, CDO 서비스, mRNA, ADC 등 다양한 분야로 사업 영역을 확장하고 있습니다."
